Entity;Code;Year;Number of daily smokers - both (IHME, GHDx (2012))
Brasil;BRA;1980;14953288
Brasil;BRA;1980;14953288
Brasil;BRA;1982;15109090
Brasil;BRA;1983;15546768
Brasil;BRA;1984;15956306
Brasil;BRA;1985;16248511
Brasil;BRA;1986;16317934
Brasil;BRA;1987;16398271
Brasil;BRA;1988;16604942
Brasil;BRA;1989;16830212
Brasil;BRA;1990;17263531
Brasil;BRA;1991;17700770
Brasil;BRA;1992;18219195
Brasil;BRA;1993;18651527
Brasil;BRA;1994;18996374
Brasil;BRA;1995;19271120
Brasil;BRA;1996;19569507
Brasil;BRA;1997;19686619
Brasil;BRA;1998;19912282
Brasil;BRA;1999;20214433
Brasil;BRA;2000;20414895
Brasil;BRA;2001;20635005
Brasil;BRA;2002;20829098
Brasil;BRA;2003;21057721
Brasil;BRA;2004;21045994
Brasil;BRA;2005;21006077
Brasil;BRA;2006;20918224
Brasil;BRA;2007;20738291
Brasil;BRA;2008;20612448
Brasil;BRA;2009;20627616
Brasil;BRA;2010;20588408
Brasil;BRA;2011;20620992
Brasil;BRA;2012;20734652
